Store,Date,Temperature
1,2011-09-16,79.94
1,2011-09-23,75.8
1,2011-09-30,79.69
1,2011-10-07,69.31
1,2011-10-14,71.74
1,2011-10-21,63.71
1,2011-10-28,66.57
1,2011-11-04,54.98
1,2011-11-11,59.11
1,2011-11-18,62.25
1,2011-11-25,60.14
1,2011-12-02,48.91
1,2011-12-09,43.93
1,2011-12-16,51.63
1,2011-12-23,47.96
1,2011-12-30,44.55
1,2012-01-06,49.01
1,2012-01-13,48.53
1,2012-01-20,54.11
1,2012-01-27,54.26
1,2012-02-03,56.55
1,2012-02-10,48.02
1,2012-02-17,45.32
1,2012-02-24,57.25
1,2012-03-02,60.96
1,2012-03-09,58.76
1,2012-03-16,64.74
1,2012-03-23,65.93
1,2012-03-30,67.61
1,2012-04-06,70.43
1,2012-04-13,69.07
1,2012-04-20,66.76
1,2012-04-27,67.23
1,2012-05-04,75.55
1,2012-05-11,73.77
1,2012-05-18,70.33
1,2012-05-25,77.22
1,2012-06-01,77.95
1,2012-06-08,78.3
1,2012-06-15,79.35
1,2012-06-22,78.39
1,2012-06-29,84.88
1,2012-07-06,81.57
1,2012-07-13,77.12
1,2012-07-20,80.42
1,2012-07-27,82.66
1,2012-08-03,86.11
1,2012-08-10,85.05
1,2012-08-17,84.85
1,2012-08-24,77.66
1,2012-08-31,80.49
1,2012-09-07,83.96
1,2012-09-14,74.97
1,2012-09-21,69.87
1,2012-09-28,76.08
1,2012-10-05,68.55
1,2012-10-12,62.99
1,2012-10-19,67.97
1,2012-10-26,69.16
1,2012-11-02,55.32
1,2012-11-09,61.24
1,2012-11-16,52.92
1,2012-11-23,56.23
1,2012-11-30,52.34
1,2012-12-07,64.12
1,2012-12-14,48.89
1,2012-12-21,56.02
1,2012-12-28,44.79
1,2013-01-04,41.73
1,2013-01-11,50.32
1,2013-01-18,42.92
1,2013-01-25,53.37
1,2013-02-01,56.46
1,2013-02-08,56.67
1,2013-02-15,49.66
1,2013-02-22,50.25
1,2013-03-01,48.01
1,2013-03-08,50.81
1,2013-03-15,55.33
1,2013-03-22,63.42
1,2013-03-29,51
1,2013-04-05,58.59
1,2013-04-12,62.72
1,2013-04-19,67.1
1,2013-04-26,59.23
1,2013-05-03,66.66
1,2013-05-10,63.9
1,2013-05-17,69.53
1,2013-05-24,77.19
1,2013-05-31,78.02
1,2013-06-07,76.44
1,2013-06-14,79.86
1,2013-06-21,81.35
1,2013-06-28,83.94
1,2013-07-05,79.85
1,2013-07-12,83.12
1,2013-07-19,79.26
1,2013-07-26,81.54
2,2010-02-05,40.19
2,2010-02-12,38.49
2,2010-02-19,39.69
2,2010-02-26,46.1
2,2010-03-05,47.17
2,2010-03-12,57.56
2,2010-03-19,54.52
2,2010-03-26,51.26
2,2010-04-02,63.27
2,2010-04-09,65.41
2,2010-04-16,68.07
2,2010-04-23,65.11
2,2010-04-30,66.98
2,2010-05-07,71.28
2,2010-05-14,73.31
2,2010-05-21,74.83
2,2010-05-28,81.13
2,2010-06-04,81.81
2,2010-06-11,83.4
2,2010-06-18,85.81
2,2010-06-25,86.26
2,2010-07-02,82.74
2,2010-07-09,82.59
2,2010-07-16,85.32
2,2010-07-23,87.66
2,2010-07-30,83.49
2,2010-08-06,89.53
2,2010-08-13,89.05
2,2010-08-20,88.7
2,2010-08-27,87.12
2,2010-09-03,81.83
2,2010-09-10,79.09
2,2010-09-17,82.05
2,2010-09-24,81.79
2,2010-10-01,69.24
2,2010-10-08,63.19
2,2010-10-15,65.8
2,2010-10-22,68.5
2,2010-10-29,66.24
2,2010-11-05,57.85
2,2010-11-12,59.69
2,2010-11-19,50.81
2,2010-11-26,62.98
2,2010-12-03,49.33
2,2010-12-10,45.5
2,2010-12-17,47.55
2,2010-12-24,49.97
2,2010-12-31,47.3
2,2011-01-07,44.69
2,2011-01-14,33.02
2,2011-01-21,41.4
2,2011-01-28,42.83
2,2011-02-04,38.25
2,2011-02-11,33.19
2,2011-02-18,57.83
2,2011-02-25,60.8
2,2011-03-04,57.77
2,2011-03-11,52.7
2,2011-03-18,62.32
2,2011-03-25,69.42
2,2011-04-01,55.43
2,2011-04-08,67
2,2011-04-15,69.48
2,2011-04-22,69.39
2,2011-04-29,69.21
2,2011-05-06,61.48
2,2011-05-13,74.61
2,2011-05-20,67.14
2,2011-05-27,76.42
2,2011-06-03,83.07
2,2011-06-10,83.4
2,2011-06-17,86.53
2,2011-06-24,85.17
2,2011-07-01,85.69
2,2011-07-08,87.7
2,2011-07-15,89.83
2,2011-07-22,89.34
2,2011-07-29,90.07
2,2011-08-05,93.34
2,2011-08-12,91.58
2,2011-08-19,89.86
2,2011-08-26,90.45
2,2011-09-02,89.64
2,2011-09-09,77.97
2,2011-09-16,78.85
2,2011-09-23,75.58
2,2011-09-30,78.14
2,2011-10-07,69.92
2,2011-10-14,71.67
2,2011-10-21,64.53
2,2011-10-28,65.87
2,2011-11-04,55.53
2,2011-11-11,59.33
2,2011-11-18,62.01
2,2011-11-25,56.36
2,2011-12-02,48.74
2,2011-12-09,41.76
2,2011-12-16,50.13
2,2011-12-23,46.66
2,2011-12-30,44.57
2,2012-01-06,46.75
2,2012-01-13,45.99
2,2012-01-20,51.7
2,2012-01-27,50.5
2,2012-02-03,55.21
2,2012-02-10,46.98
2,2012-02-17,43.82
2,2012-02-24,54.63
2,2012-03-02,58.79
2,2012-03-09,57.11
2,2012-03-16,63.68
2,2012-03-23,64.01
2,2012-03-30,66.83
2,2012-04-06,68.43
2,2012-04-13,68.08
2,2012-04-20,65.69
2,2012-04-27,67.2
2,2012-05-04,76.73
2,2012-05-11,73.87
2,2012-05-18,71.27
2,2012-05-25,78.19
2,2012-06-01,78.38
2,2012-06-08,78.69
2,2012-06-15,80.56
2,2012-06-22,81.04
2,2012-06-29,86.32
2,2012-07-06,84.2
2,2012-07-13,80.17
2,2012-07-20,83.23
2,2012-07-27,86.37
2,2012-08-03,90.22
2,2012-08-10,88.55
2,2012-08-17,84.79
2,2012-08-24,76.91
2,2012-08-31,82.64
2,2012-09-07,87.65
2,2012-09-14,75.88
2,2012-09-21,71.09
2,2012-09-28,79.45
2,2012-10-05,70.27
2,2012-10-12,60.97
2,2012-10-19,68.08
2,2012-10-26,69.79
2,2012-11-02,56.4
2,2012-11-09,61.9
2,2012-11-16,52.72
2,2012-11-23,58.06
2,2012-11-30,52.64
2,2012-12-07,64.19
2,2012-12-14,47.69
2,2012-12-21,55.14
2,2012-12-28,41.56
2,2013-01-04,39.12
2,2013-01-11,47.42
2,2013-01-18,40.98
2,2013-01-25,51.33
2,2013-02-01,54.75
2,2013-02-08,56.08
2,2013-02-15,48.92
2,2013-02-22,48.16
2,2013-03-01,46.08
2,2013-03-08,51.12
2,2013-03-15,55.14
2,2013-03-22,59.97
2,2013-03-29,50.54
2,2013-04-05,58.3
2,2013-04-12,61.23
2,2013-04-19,67.05
2,2013-04-26,58.13
2,2013-05-03,65.26
2,2013-05-10,63.51
2,2013-05-17,70.55
2,2013-05-24,76.83
2,2013-05-31,78.05
2,2013-06-07,76.2
2,2013-06-14,80.91
2,2013-06-21,81.11
2,2013-06-28,85.37
2,2013-07-05,79.48
2,2013-07-12,85.41
2,2013-07-19,79.16
2,2013-07-26,83.17
3,2010-02-05,45.71
3,2010-02-12,47.93
3,2010-02-19,47.07
3,2010-02-26,52.05
3,2010-03-05,53.04
3,2010-03-12,63.08
3,2010-03-19,60.42
3,2010-03-26,57.06
3,2010-04-02,65.56
3,2010-04-09,68
3,2010-04-16,66.98
3,2010-04-23,67.87
3,2010-04-30,70.24
3,2010-05-07,73.47
3,2010-05-14,77.18
3,2010-05-21,75.81
3,2010-05-28,78.6
3,2010-06-04,78.53
3,2010-06-11,82.1
3,2010-06-18,83.52
3,2010-06-25,83.79
3,2010-07-02,82.2
3,2010-07-09,81.75
3,2010-07-16,84.32
3,2010-07-23,83.32
3,2010-07-30,82.04
3,2010-08-06,85.13
3,2010-08-13,86.74
3,2010-08-20,88.02
3,2010-08-27,86.15
3,2010-09-03,84.16
3,2010-09-10,80.84
3,2010-09-17,82.36
3,2010-09-24,76.9
3,2010-10-01,73.6
3,2010-10-08,66.99
3,2010-10-15,69.71
3,2010-10-22,71.64
3,2010-10-29,72.04
3,2010-11-05,62.94
3,2010-11-12,62.79
3,2010-11-19,57.72
3,2010-11-26,68.71
3,2010-12-03,53.76
3,2010-12-10,51.13
3,2010-12-17,52.2
3,2010-12-24,57.16
3,2010-12-31,53.2
3,2011-01-07,53.35
3,2011-01-14,44.76
3,2011-01-21,50.74
3,2011-01-28,48.71
3,2011-02-04,45.95
3,2011-02-11,43.57
3,2011-02-18,61.58
3,2011-02-25,67.4
3,2011-03-04,65.11
3,2011-03-11,61.29
3,2011-03-18,69.47
3,2011-03-25,72.94
3,2011-04-01,68.76
3,2011-04-08,72.55
3,2011-04-15,75.88
3,2011-04-22,76.91
3,2011-04-29,78.69
3,2011-05-06,69.45
3,2011-05-13,79.87
3,2011-05-20,75.79
3,2011-05-27,84.41
3,2011-06-03,84.29
3,2011-06-10,84.84
3,2011-06-17,86.96
3,2011-06-24,84.94
3,2011-07-01,85.1
3,2011-07-08,85.38
3,2011-07-15,87.14
3,2011-07-22,86.19
3,2011-07-29,88.07
3,2011-08-05,88.45
3,2011-08-12,88.88
3,2011-08-19,88.44
3,2011-08-26,87.67
3,2011-09-02,89.12
3,2011-09-09,81.72
3,2011-09-16,83.63
3,2011-09-23,80.19
3,2011-09-30,82.58
3,2011-10-07,75.54
3,2011-10-14,73.75
3,2011-10-21,69.03
3,2011-10-28,71.04
3,2011-11-04,59.31
3,2011-11-11,61.7
3,2011-11-18,63.91
3,2011-11-25,68
3,2011-12-02,54.97
3,2011-12-09,49.26
3,2011-12-16,57.95
3,2011-12-23,53.41
3,2011-12-30,48.29
3,2012-01-06,52.42
3,2012-01-13,51.86
3,2012-01-20,56.2
3,2012-01-27,58.06
3,2012-02-03,59.33
3,2012-02-10,51.65
3,2012-02-17,52.39
3,2012-02-24,60.12
3,2012-03-02,61.65
3,2012-03-09,60.71
3,2012-03-16,64
3,2012-03-23,66.53
3,2012-03-30,69.36
3,2012-04-06,73.01
3,2012-04-13,72.83
3,2012-04-20,72.05
3,2012-04-27,73.39
3,2012-05-04,79.51
3,2012-05-11,75.19
3,2012-05-18,72.38
3,2012-05-25,78.58
3,2012-06-01,81.55
3,2012-06-08,81.65
3,2012-06-15,84.66
3,2012-06-22,82.7
3,2012-06-29,86.42
3,2012-07-06,83.14
3,2012-07-13,82.28
3,2012-07-20,81.38
3,2012-07-27,84.94
3,2012-08-03,86.55
3,2012-08-10,85.85
3,2012-08-17,87.36
3,2012-08-24,83.01
3,2012-08-31,85.18
3,2012-09-07,84.99
3,2012-09-14,78.36
3,2012-09-21,72.78
3,2012-09-28,77.46
3,2012-10-05,72.74
3,2012-10-12,70.31
3,2012-10-19,73.44
3,2012-10-26,74.66
3,2012-11-02,61.61
3,2012-11-09,68.72
3,2012-11-16,61.1
3,2012-11-23,61.69
3,2012-11-30,57.5
3,2012-12-07,65.09
3,2012-12-14,54.72
3,2012-12-21,59.39
3,2012-12-28,51.76
3,2013-01-04,46.52
3,2013-01-11,49.83
3,2013-01-18,49.09
3,2013-01-25,57.85
3,2013-02-01,62.81
3,2013-02-08,62.77
3,2013-02-15,57.36
3,2013-02-22,59.96
3,2013-03-01,54.19
3,2013-03-08,57.25
3,2013-03-15,61.99
3,2013-03-22,70.38
3,2013-03-29,60.69
3,2013-04-05,65.89
3,2013-04-12,67.56
3,2013-04-19,71.69
3,2013-04-26,65.23
3,2013-05-03,69.73
3,2013-05-10,68.93
3,2013-05-17,75.33
3,2013-05-24,81.27
3,2013-05-31,78.99
3,2013-06-07,80.11
3,2013-06-14,78.61
3,2013-06-21,82.81
3,2013-06-28,85.14
3,2013-07-05,81.59
3,2013-07-12,84.86
3,2013-07-19,81.11
3,2013-07-26,85.53
4,2010-02-05,43.76
4,2010-02-12,28.84
4,2010-02-19,36.45
4,2010-02-26,41.36
4,2010-03-05,43.49
4,2010-03-12,49.63
4,2010-03-19,55.19
4,2010-03-26,39.91
4,2010-04-02,48.77
4,2010-04-09,54.16
4,2010-04-16,56.23
4,2010-04-23,56.87
4,2010-04-30,53.04
4,2010-05-07,56.77
4,2010-05-14,62.35
4,2010-05-21,67.4
4,2010-05-28,67.73
4,2010-06-04,70.83
4,2010-06-11,78.45
4,2010-06-18,81.53
4,2010-06-25,81.1
4,2010-07-02,73.66
4,2010-07-09,80.35
4,2010-07-16,78.53
4,2010-07-23,79.78
4,2010-07-30,80.7
4,2010-08-06,76.53
4,2010-08-13,78.08
4,2010-08-20,78.83
4,2010-08-27,74.44
4,2010-09-03,76.8
4,2010-09-10,73.54
4,2010-09-17,64.91
4,2010-09-24,60.96
4,2010-10-01,63.96
4,2010-10-08,67.73
4,2010-10-15,62.03
4,2010-10-22,64.17
4,2010-10-29,56.94
4,2010-11-05,51.6
4,2010-11-12,52.65
4,2010-11-19,48.05
4,2010-11-26,48.08
4,2010-12-03,46.4
4,2010-12-10,42.4
4,2010-12-17,46.57
4,2010-12-24,43.21
4,2010-12-31,38.09
4,2011-01-07,39.34
4,2011-01-14,31.6
4,2011-01-21,38.34
4,2011-01-28,40.6
4,2011-02-04,34.61
4,2011-02-11,33.29
4,2011-02-18,48.17
4,2011-02-25,49
4,2011-03-04,46.56
4,2011-03-11,50.93
4,2011-03-18,51.86
4,2011-03-25,59.1
4,2011-04-01,56.99
4,2011-04-08,62.61
4,2011-04-15,62.34
4,2011-04-22,68.8
4,2011-04-29,64.22
4,2011-05-06,63.41
4,2011-05-13,70.65
4,2011-05-20,70.49
4,2011-05-27,73.65
4,2011-06-03,78.26
4,2011-06-10,80.05
4,2011-06-17,83.51
4,2011-06-24,81.85
4,2011-07-01,84.54
4,2011-07-08,84.59
4,2011-07-15,83.27
4,2011-07-22,82.84
4,2011-07-29,84.36
4,2011-08-05,86.09
4,2011-08-12,82.98
4,2011-08-19,82.77
4,2011-08-26,81.47
4,2011-09-02,77.99
4,2011-09-09,73.34
4,2011-09-16,72.76
4,2011-09-23,69.23
4,2011-09-30,72.15
4,2011-10-07,65.79
4,2011-10-14,63.75
4,2011-10-21,64.79
4,2011-10-28,55.31
4,2011-11-04,49.86
4,2011-11-11,47.12
4,2011-11-18,50.44
4,2011-11-25,47.96
4,2011-12-02,38.71
4,2011-12-09,31.64
4,2011-12-16,36.44
4,2011-12-23,35.92
4,2011-12-30,36.89
4,2012-01-06,38.64
4,2012-01-13,34.41
4,2012-01-20,42.09
4,2012-01-27,40.31
4,2012-02-03,41.81
4,2012-02-10,33
4,2012-02-17,34.19
4,2012-02-24,41.31
4,2012-03-02,50.38
4,2012-03-09,53.63
4,2012-03-16,59.81
4,2012-03-23,59.07
4,2012-03-30,72.63
4,2012-04-06,67.69
4,2012-04-13,68.69
4,2012-04-20,68.6
4,2012-04-27,76.47
4,2012-05-04,80.14
4,2012-05-11,67.64
4,2012-05-18,68.43
4,2012-05-25,77.47
4,2012-06-01,77.41
4,2012-06-08,78.11
4,2012-06-15,80.94
4,2012-06-22,81.63
4,2012-06-29,84.23
4,2012-07-06,80.37
4,2012-07-13,76.86
4,2012-07-20,79.14
4,2012-07-27,81.06
4,2012-08-03,83.86
4,2012-08-10,83.21
4,2012-08-17,81.41
4,2012-08-24,75.76
4,2012-08-31,76.47
4,2012-09-07,82.09
4,2012-09-14,68.2
4,2012-09-21,68.97
4,2012-09-28,71.74
4,2012-10-05,63.07
4,2012-10-12,57.11
4,2012-10-19,64.46
4,2012-10-26,63.64
4,2012-11-02,53.31
4,2012-11-09,59.47
4,2012-11-16,49.86
4,2012-11-23,55.09
4,2012-11-30,50.91
4,2012-12-07,53.67
4,2012-12-14,42.57
4,2012-12-21,44.8
4,2012-12-28,37.93
4,2013-01-04,33.11
4,2013-01-11,38.92
4,2013-01-18,34.06
4,2013-01-25,47.49
4,2013-02-01,49.07
4,2013-02-08,49.86
4,2013-02-15,44.7
4,2013-02-22,44.68
4,2013-03-01,42.56
4,2013-03-08,53.21
4,2013-03-15,53.39
4,2013-03-22,58.55
4,2013-03-29,50.36
4,2013-04-05,57.7
4,2013-04-12,60.06
4,2013-04-19,63.28
4,2013-04-26,58.15
4,2013-05-03,64.18
4,2013-05-10,64.01
4,2013-05-17,70.5
4,2013-05-24,76.73
4,2013-05-31,79.17
4,2013-06-07,78.11
4,2013-06-14,79.24
4,2013-06-21,79.1
4,2013-06-28,86.29
4,2013-07-05,76.96
4,2013-07-12,82.3
4,2013-07-19,73.29
4,2013-07-26,78.96
5,2010-02-05,39.7
5,2010-02-12,39.81
5,2010-02-19,41.14
5,2010-02-26,46.7
5,2010-03-05,48.89
5,2010-03-12,58.5
5,2010-03-19,55.46
5,2010-03-26,52.47
5,2010-04-02,63.18
5,2010-04-09,65.19
5,2010-04-16,65.3
5,2010-04-23,65.13
5,2010-04-30,67.53
5,2010-05-07,71.53
5,2010-05-14,74.79
5,2010-05-21,75.2
5,2010-05-28,79.81
5,2010-06-04,79.54
5,2010-06-11,80.7
5,2010-06-18,83.91
5,2010-06-25,83.72
5,2010-07-02,81.25
5,2010-07-09,81.14
5,2010-07-16,83.98
5,2010-07-23,83.66
5,2010-07-30,82.46
5,2010-08-06,86.1
5,2010-08-13,87.41
5,2010-08-20,87.71
5,2010-08-27,87.05
5,2010-09-03,84.06
5,2010-09-10,79.86
5,2010-09-17,82.28
5,2010-09-24,78.53
5,2010-10-01,71.1
5,2010-10-08,64.99
5,2010-10-15,68.11
5,2010-10-22,70.96
5,2010-10-29,70.58
5,2010-11-05,58.88
5,2010-11-12,62.37
5,2010-11-19,52.52
5,2010-11-26,66.15
5,2010-12-03,51.31
5,2010-12-10,48.27
5,2010-12-17,51.61
5,2010-12-24,55.01
5,2010-12-31,49.79
5,2011-01-07,48.3
5,2011-01-14,37.74
5,2011-01-21,45.41
5,2011-01-28,44.5
5,2011-02-04,41.67
5,2011-02-11,38.25
5,2011-02-18,58.83
5,2011-02-25,63.35
5,2011-03-04,60.35
5,2011-03-11,55.74
5,2011-03-18,64.31
5,2011-03-25,70.71
5,2011-04-01,61.5
5,2011-04-08,69.64
5,2011-04-15,72.02
5,2011-04-22,74.34
5,2011-04-29,74.75
5,2011-05-06,66.27
5,2011-05-13,77.38
5,2011-05-20,71.37
5,2011-05-27,80.14
5,2011-06-03,83.81
5,2011-06-10,83.61
5,2011-06-17,86.84
5,2011-06-24,84.76
5,2011-07-01,85.81
5,2011-07-08,86.64
5,2011-07-15,88.64
5,2011-07-22,86.97
5,2011-07-29,89.42
5,2011-08-05,91.07
5,2011-08-12,90.16
5,2011-08-19,89.35
5,2011-08-26,89.18
5,2011-09-02,90.38
5,2011-09-09,79.04
5,2011-09-16,83.55
5,2011-09-23,78.01
5,2011-09-30,81.16
5,2011-10-07,71.64
5,2011-10-14,72.36
5,2011-10-21,66.9
5,2011-10-28,69.27
5,2011-11-04,56.71
5,2011-11-11,60.71
5,2011-11-18,64.33
5,2011-11-25,61.93
5,2011-12-02,51.14
5,2011-12-09,44.12
5,2011-12-16,54.42
5,2011-12-23,50.33
5,2011-12-30,45.62
5,2012-01-06,50.21
5,2012-01-13,48.86
5,2012-01-20,54.65
5,2012-01-27,54.63
5,2012-02-03,57.35
5,2012-02-10,48.57
5,2012-02-17,48.25
5,2012-02-24,57.75
5,2012-03-02,60.66
5,2012-03-09,57.69
5,2012-03-16,63.55
5,2012-03-23,64.44
5,2012-03-30,67.76
5,2012-04-06,70.4
5,2012-04-13,70.56
5,2012-04-20,67.33
5,2012-04-27,68.96
5,2012-05-04,77.1
5,2012-05-11,73.45
5,2012-05-18,70.45
5,2012-05-25,78.23
5,2012-06-01,79.72
5,2012-06-08,81.02
5,2012-06-15,81.64
5,2012-06-22,80.57
5,2012-06-29,87.08
5,2012-07-06,82.35
5,2012-07-13,80.78
5,2012-07-20,81.05
5,2012-07-27,85.06
5,2012-08-03,86.91
5,2012-08-10,86.96
5,2012-08-17,87.52
5,2012-08-24,79.45
5,2012-08-31,84.25
5,2012-09-07,86.3
5,2012-09-14,76.65
5,2012-09-21,71.09
5,2012-09-28,78.33
5,2012-10-05,71.17
5,2012-10-12,66.24
5,2012-10-19,69.17
5,2012-10-26,71.7
5,2012-11-02,57.83
5,2012-11-09,64.61
5,2012-11-16,56.89
5,2012-11-23,59.07
5,2012-11-30,56.2
5,2012-12-07,66.13
5,2012-12-14,52.44
5,2012-12-21,58.63
5,2012-12-28,47.47
5,2013-01-04,41.77
5,2013-01-11,49.5
5,2013-01-18,45.08
5,2013-01-25,57.05
5,2013-02-01,58.99
5,2013-02-08,59.05
5,2013-02-15,53.09
5,2013-02-22,54.1
5,2013-03-01,49.47
5,2013-03-08,53.16
5,2013-03-15,58.01
5,2013-03-22,65.96
5,2013-03-29,53.25
5,2013-04-05,61.88
5,2013-04-12,62.36
5,2013-04-19,67.43
5,2013-04-26,60.44
5,2013-05-03,67.55
5,2013-05-10,65.52
5,2013-05-17,71.38
5,2013-05-24,77.84
5,2013-05-31,78.26
5,2013-06-07,78.4
5,2013-06-14,80.76
5,2013-06-21,83.85
5,2013-06-28,86.09
5,2013-07-05,82.06
5,2013-07-12,85.75
5,2013-07-19,79.73
5,2013-07-26,84.16
6,2010-02-05,40.43
6,2010-02-12,40.57
6,2010-02-19,43.58
6,2010-02-26,47.1
6,2010-03-05,49.63
6,2010-03-12,58.82
6,2010-03-19,56.55
6,2010-03-26,53.74
6,2010-04-02,64.94
6,2010-04-09,66.15
6,2010-04-16,65.68
6,2010-04-23,64.11
6,2010-04-30,68.91
6,2010-05-07,73.68
6,2010-05-14,74.95
6,2010-05-21,74.8
6,2010-05-28,78.89
6,2010-06-04,79.44
6,2010-06-11,81.81
6,2010-06-18,83.89
6,2010-06-25,84.2
6,2010-07-02,80.34
6,2010-07-09,80.93
6,2010-07-16,83.75
6,2010-07-23,83.9
6,2010-07-30,81.37
6,2010-08-06,86.61
6,2010-08-13,86.83
6,2010-08-20,87.36
6,2010-08-27,85.71
6,2010-09-03,82.15
6,2010-09-10,78.78
6,2010-09-17,81.78
6,2010-09-24,76.49
6,2010-10-01,70.69
6,2010-10-08,65.21
6,2010-10-15,68.93
6,2010-10-22,70.97
6,2010-10-29,70.39
6,2010-11-05,59.9
6,2010-11-12,62.11
6,2010-11-19,52.99
6,2010-11-26,65.79
6,2010-12-03,52.3
6,2010-12-10,48.46
6,2010-12-17,52.24
6,2010-12-24,55.07
6,2010-12-31,49.14
6,2011-01-07,47.78
6,2011-01-14,38.37
6,2011-01-21,46.2
6,2011-01-28,44.98
6,2011-02-04,40.59
6,2011-02-11,39.38
6,2011-02-18,59.61
6,2011-02-25,62.86
6,2011-03-04,60.45
6,2011-03-11,57.71
6,2011-03-18,65.07
6,2011-03-25,70.83
6,2011-04-01,62.25
6,2011-04-08,70.35
6,2011-04-15,73.17
6,2011-04-22,74.24
6,2011-04-29,75.27
6,2011-05-06,65.42
6,2011-05-13,76.95
6,2011-05-20,72.01
6,2011-05-27,80.83
6,2011-06-03,84.01
6,2011-06-10,84.49
6,2011-06-17,87.08
6,2011-06-24,85.51
6,2011-07-01,87
6,2011-07-08,88.36
6,2011-07-15,88.93
6,2011-07-22,88.06
6,2011-07-29,90.22
6,2011-08-05,91.46
6,2011-08-12,90.49
6,2011-08-19,89.26
6,2011-08-26,90.07
6,2011-09-02,91.22
6,2011-09-09,80.21
6,2011-09-16,84.94
6,2011-09-23,78.49
6,2011-09-30,82.51
6,2011-10-07,74.1
6,2011-10-14,71.24
6,2011-10-21,68.53
6,2011-10-28,69.51
6,2011-11-04,58.54
6,2011-11-11,61.33
6,2011-11-18,63.89
6,2011-11-25,62.78
6,2011-12-02,51.18
6,2011-12-09,43.64
6,2011-12-16,53.27
6,2011-12-23,49.45
6,2011-12-30,46.8
6,2012-01-06,50.82
6,2012-01-13,48.33
6,2012-01-20,55.37
6,2012-01-27,53.95
6,2012-02-03,57.45
6,2012-02-10,48.58
6,2012-02-17,49.03
6,2012-02-24,59.17
6,2012-03-02,60.32
6,2012-03-09,57.89
6,2012-03-16,62.8
6,2012-03-23,63.71
6,2012-03-30,67.91
6,2012-04-06,71.6
6,2012-04-13,71.29
6,2012-04-20,68.64
6,2012-04-27,71.5
6,2012-05-04,77.66
6,2012-05-11,72.66
6,2012-05-18,70.5
6,2012-05-25,78.47
6,2012-06-01,80.39
6,2012-06-08,80.5
6,2012-06-15,82.1
6,2012-06-22,81.2
6,2012-06-29,87.35
6,2012-07-06,82.95
6,2012-07-13,80.27
6,2012-07-20,81.57
6,2012-07-27,85.78
6,2012-08-03,87.55
6,2012-08-10,87.04
6,2012-08-17,87.53
6,2012-08-24,79.03
6,2012-08-31,83.58
6,2012-09-07,86.33
6,2012-09-14,76.41
6,2012-09-21,70.81
6,2012-09-28,77.82
6,2012-10-05,70.84
6,2012-10-12,65.43
6,2012-10-19,69.68
6,2012-10-26,72.34
6,2012-11-02,58.38
6,2012-11-09,66.68
6,2012-11-16,56.16
6,2012-11-23,60.28
6,2012-11-30,56.18
6,2012-12-07,64.25
6,2012-12-14,51.31
6,2012-12-21,58.51
6,2012-12-28,46.57
6,2013-01-04,40.46
6,2013-01-11,48.26
6,2013-01-18,44.94
6,2013-01-25,57.35
6,2013-02-01,58.57
6,2013-02-08,60.55
6,2013-02-15,53.36
6,2013-02-22,54.57
6,2013-03-01,50.08
6,2013-03-08,55.31
6,2013-03-15,59.18
6,2013-03-22,65.87
6,2013-03-29,54.23
6,2013-04-05,61.4
